,0
P,1
PAUSE,P
p,P
MUSIC_END,0
A2,4545
a2,4545
A2b,4816
a2b,4816
A2x,4290
a2x,4290
Ais2,4290
ais2,4290
B2,4050
b2,4050
B2b,4290
b2b,4290
C2,7645
c2,7645
C2x,7215
c2x,7215
Cis2,7215
cis2,7215
D2,6810
d2,6810
D2b,7215
d2b,7215
D2x,6428
d2x,6428
Dis2,6428
dis2,6428
E2,6067
e2,6067
E2b,6428
e2b,6428
F2,5727
f2,5727
F2x,5405
f2x,5405
Fis2,5405
fis2,5405
G2,5102
g2,5102
G2b,5405
g2b,5405
G2x,4816
g2x,4816
Gis2,4816
gis2,4816
H2,4050
h2,4050
H2b,4290
h2b,4290
bH2,4290
bh2,4290
xA2,4290
xa2,4290
xC2,7215
xc2,7215
xF2,5405
xf2,5405
xG2,5102
xg2,5102
A3,2273
a3,2273
A3b,2408
a3b,2408
A3x,2145
a3x,2145
Ais3,2145
ais3,2145
B3,2025
b3,2025
B3b,2145
b3b,2145
C3,3822
c3,3822
C3x,3608
c3x,3608
Cis3,3608
cis3,3608
D3,3405
d3,3405
D3b,3608
d3b,3608
D3x,3214
d3x,3214
Dis3,3214
dis3,3214
E3,3034
e3,3034
E3b,3214
e3b,3214
F3,2863
f3,2863
F3x,2703
f3x,2703
Fis3,2703
fis3,2703
G3,2551
g3,2551
G3b,2703
g3b,2703
G3x,2408
g3x,2408
Gis3,2408
gis3,2408
H3,2025
h3,2025
H3b,2145
h3b,2145
bH3,2145
bh3,2145
xA3,2145
xa3,2145
xC3,3608
xc3,3608
xF3,2703
xf3,2703
xG3,2551
xg3,2551
A4,1136
a4,1136
A4b,1204
a4b,1204
A4x,1073
a4x,1073
Ais4,1073
ais4,1073
B4,1012
b4,1012
B4b,1073
b4b,1073
C4,1911
c4,1911
C4x,1804
c4x,1804
Cis4,1804
cis4,1804
D4,1703
d4,1703
D4b,1804
d4b,1804
D4x,1607
d4x,1607
Dis4,1607
dis4,1607
E4,1517
e4,1517
E4b,1607
e4b,1607
F4,1432
f4,1432
F4x,1351
f4x,1351
Fis4,1351
fis4,1351
G4,1276
g4,1276
G4b,1351
g4b,1351
G4x,1204
g4x,1204
Gis4,1204
gis4,1204
H4,1012
h4,1012
H4b,1073
h4b,1073
bH4,1073
bh4,1073
xA4,1073
xa4,1073
xC4,1804
xc4,1804
xF4,1351
xf4,1351
xG4,1276
xg4,1276
A5,568
a5,568
A5b,602
a5b,602
A5x,536
a5x,536
Ais5,536
ais5,536
B5,506
b5,506
B5b,536
b5b,536
C5,956
c5,956
C5x,902
c5x,902
Cis5,902
cis5,902
D5,851
d5,851
D5b,902
d5b,902
D5x,804
d5x,804
Dis5,804
dis5,804
E5,758
e5,758
E5b,804
e5b,804
F5,716
f5,716
F5x,676
f5x,676
Fis5,676
fis5,676
G5,638
g5,638
G5b,676
g5b,676
G5x,602
g5x,602
Gis5,602
gis5,602
H5,506
h5,506
H5b,536
h5b,536
bH5,536
bh5,536
xA5,536
xa5,536
xC5,902
xc5,902
xF5,676
xf5,676
xG5,638
xg5,638
A6,284
a6,284
A6b,301
a6b,301
A6x,268
a6x,268
Ais6,268
ais6,268
B6,253
b6,253
B6b,268
b6b,268
C6,478
c6,478
C6x,451
c6x,451
Cis6,451
cis6,451
D6,426
d6,426
D6b,451
d6b,451
D6x,402
d6x,402
Dis6,402
dis6,402
E6,379
e6,379
E6b,402
e6b,402
F6,358
f6,358
F6x,338
f6x,338
Fis6,338
fis6,338
G6,319
g6,319
G6b,338
g6b,338
G6x,301
g6x,301
Gis6,301
gis6,301
H6,253
h6,253
H6b,268
h6b,268
bH6,268
bh6,268
xA6,268
xa6,268
xC6,451
xc6,451
xF6,338
xf6,338
xG6,319
xg6,319
A7,142
a7,142
A7b,150
a7b,150
A7x,134
a7x,134
Ais7,134
ais7,134
B7,127
b7,127
B7b,134
b7b,134
C7,239
c7,239
C7x,225
c7x,225
Cis7,225
cis7,225
D7,213
d7,213
D7b,225
d7b,225
D7x,201
d7x,201
Dis7,201
dis7,201
E7,190
e7,190
E7b,201
e7b,201
F7,179
f7,179
F7x,169
f7x,169
Fis7,169
fis7,169
G7,159
g7,159
G7b,169
g7b,169
G7x,150
g7x,150
Gis7,150
gis7,150
H7,127
h7,127
H7b,134
h7b,134
bH7,134
bh7,134
xA7,134
xa7,134
xC7,225
xc7,225
xF7,169
xf7,169
xG7,159
xg7,159
